Message,Answer,Reply,Author ID
Hey everyone,Hey :),true,
Good morning,good morning ,true,
Hi,"hey man, how are you doing",true,
Good night,"gn, sleep well ",false,
Good and you,"I'm doing good too, thak you for asking :)",true,
Hey guys,Hey :),true,
hello!,hii,true,
How are you? ,good wbu,true,
How are you doing,pretty well and you?,true,
hey guys,"hey, how are you?",true,
"good, how are you?","glad to hear, I'm doing good :)",true,
Hyped,me too !!,true,
gm guys,gm man,true,
love how the chat is moving,yeah it's crazyy,true,
lfg,lets gooo ,true,
hello gm,"gm, how are you?",true,
Hello everyone and have a nice day today!,"hello, thank you you too!",true,
Don't stop guys,We never stop!,true,
Keep going,yeah keep going!,true,
What did you have for breakfast,pancakes and coffe and you?,true,
Hi fam,heyy,true,
Great where are you from,"glad to hear, I'm from germany and you?",true,
hello fam,hello,true,
I believe that this project will be on top,yeah it will be!,true,
gm,good morning!,true,
to the moon,hopefully ;),true,
what are you doing,"I'm currently outside relaxing, and you?",true,
Nice to meet you,nice to meet you too!,true,
I'm new here,welcome :D,true,
I am very happy,great to hear :),true,
What y’all doing?,currently just chilling and you?,true,
welcome,welcome! :),false,
where are you from?,from germany and you?,true,
Anyone here from Germany?,yeah :),true,
welcome guys,welcome !,false,
hello,heyy :D,false,
Lol,lool,false,
Where do u live?,germany and you?,true,
Heyy guys,hellooo :D,true,
Nice place,yeah,false,
How are you doing today,tbh pretty good and you?,true,
Welcome sir,welcome :),false,
I am from England,I really like england,true,
lets go,lfg ;),false,
I hope I get a chance on the public mint,hopefully me too if I don't get whitelisted,true,
Most bullish project ever,I agree,true,
Keep going guys,we do! ,true,
congrats on WL bro,congrats!,false,
i like the project,me too!,true,
hey,"hey, what's up?",true,
sup bro,sup everything good?,true,
Can't wait for mint,I also can't wait ,true,
so hype,yeeah !!,true,
keep it up guys,we will!,true,
Wagmi,wagmi!,true,
We're unstoppable,yessss! we are,true,
gg,gg man,true,
how's it going?,good :) wbu?,true,
it is a good day!,yeah it is !,true,
Hows everyone doin,good and you?,true,
hey all,heyy :D,true,
hi there,"hello, how are you doing today? :D",true,
How you doing fam,very good and u?,true,
keep going on,yess!!,true,
same lol,lol,false,
we can do it soon,hopefully,true,
How to get whitelist?,please read the whitelist requirements :D,true,
We mooning,hopefully!,true,
how's your day fam?,good and yours?,true,
What’s everyone doing?,trying to get whitelisted and you,true,
sup,sup man,true,
Yo guys,yoo,true,
gn,good night :),true,
bye,byee :),true,
this project looks so insane,yeah I agree ,true,
how we doing?,good and you?,true,
lets keep going,lets gooo,true,
how do you do?,Im doing good and you?,true,
yeah guys grinding,keep going!,true,
stay active,yess stay active,true,
welcome to comunity,welcome,false,
Don't sleep,keep grinding!,true,
hi everyone,heyyy,true,
love this community,me too!,true,
what's good fam,yoo how are you?,true,
my favorite food is pizza,damn I love pizza!,true,
what's up dude?,yoo whats up,true,
BULLISH,me too!,true,
